dataset,split,modality,label,class_name,count
sketchy_104_21,train,photo,79,flower,700
sketchy_104_21,train,photo,80,sailboat,700
sketchy_104_21,train,photo,81,castle,700
sketchy_104_21,train,photo,82,duck,700
sketchy_104_21,train,photo,83,snake,700
sketchy_104_21,train,photo,84,kangaroo,700
sketchy_104_21,train,photo,85,guitar,700
sketchy_104_21,train,photo,86,piano,700
sketchy_104_21,train,photo,87,bench,700
sketchy_104_21,train,photo,88,squirrel,700
sketchy_104_21,train,photo,89,crocodilian,700
sketchy_104_21,train,photo,90,apple,700
sketchy_104_21,train,photo,91,hourglass,700
sketchy_104_21,train,photo,92,motorcycle,700
sketchy_104_21,train,photo,93,hat,700
sketchy_104_21,train,photo,94,knife,700
sketchy_104_21,train,photo,95,bread,700
sketchy_104_21,train,photo,96,wine_bottle,700
sketchy_104_21,train,photo,97,blimp,700
sketchy_104_21,train,photo,98,hotdog,700
sketchy_104_21,train,photo,99,airplane,700
sketchy_104_21,train,photo,100,snail,700
sketchy_104_21,train,photo,101,beetle,700
sketchy_104_21,train,photo,102,lobster,800
sketchy_104_21,train,photo,103,sea_turtle,700
sketchy_104_21,test,sketch,0,bat,635
sketchy_104_21,test,sketch,1,cabin,546
sketchy_104_21,test,sketch,2,cow,728
sketchy_104_21,test,sketch,3,dolphin,590
sketchy_104_21,test,sketch,4,door,578
sketchy_104_21,test,sketch,5,giraffe,673
sketchy_104_21,test,sketch,6,helicopter,746
sketchy_104_21,test,sketch,7,mouse,670
sketchy_104_21,test,sketch,8,pear,575
sketchy_104_21,test,sketch,9,raccoon,735
sketchy_104_21,test,sketch,10,rhinoceros,556
sketchy_104_21,test,sketch,11,saw,532
sketchy_104_21,test,sketch,12,scissors,558
sketchy_104_21,test,sketch,13,seagull,666
sketchy_104_21,test,sketch,14,skyscraper,545
sketchy_104_21,test,sketch,15,songbird,529
sketchy_104_21,test,sketch,16,sword,605
sketchy_104_21,test,sketch,17,tree,533
sketchy_104_21,test,sketch,18,wheelchair,542
sketchy_104_21,test,sketch,19,windmill,598
sketchy_104_21,test,sketch,20,window,554
sketchy_104_21,test,photo,0,bat,543
sketchy_104_21,test,photo,1,cabin,492
sketchy_104_21,test,photo,2,cow,700
sketchy_104_21,test,photo,3,dolphin,713
sketchy_104_21,test,photo,4,door,700
sketchy_104_21,test,photo,5,giraffe,700
sketchy_104_21,test,photo,6,helicopter,850
sketchy_104_21,test,photo,7,mouse,445
sketchy_104_21,test,photo,8,pear,485
sketchy_104_21,test,photo,9,raccoon,700
sketchy_104_21,test,photo,10,rhinoceros,763
sketchy_104_21,test,photo,11,saw,700
sketchy_104_21,test,photo,12,scissors,739
sketchy_104_21,test,photo,13,seagull,700
sketchy_104_21,test,photo,14,skyscraper,261
sketchy_104_21,test,photo,15,songbird,700
sketchy_104_21,test,photo,16,sword,376
sketchy_104_21,test,photo,17,tree,595
sketchy_104_21,test,photo,18,wheelchair,378
sketchy_104_21,test,photo,19,windmill,493
sketchy_104_21,test,photo,20,window,520
tuberlin_220_30,train,sketch,0,wrist-watch,70
tuberlin_220_30,train,sketch,1,pig,70
tuberlin_220_30,train,sketch,2,alarm clock,70
tuberlin_220_30,train,sketch,3,chair,70
tuberlin_220_30,train,sketch,4,tablelamp,70
tuberlin_220_30,train,sketch,5,nose,70
tuberlin_220_30,train,sketch,6,trousers,70
tuberlin_220_30,train,sketch,7,boomerang,70
tuberlin_220_30,train,sketch,8,van,70
tuberlin_220_30,train,sketch,9,sponge bob,70
tuberlin_220_30,train,sketch,10,mouse (animal),70
tuberlin_220_30,train,sketch,11,book,70
tuberlin_220_30,train,sketch,12,angel,70
tuberlin_220_30,train,sketch,13,donut,70
tuberlin_220_30,train,sketch,14,tire,70
tuberlin_220_30,train,sketch,15,helicopter,70
tuberlin_220_30,train,sketch,16,tomato,70
tuberlin_220_30,train,sketch,17,skateboard,70
tuberlin_220_30,train,sketch,18,cup,70
tuberlin_220_30,train,sketch,19,dragon,70
tuberlin_220_30,train,sketch,20,feather,70
tuberlin_220_30,train,sketch,21,piano,70
tuberlin_220_30,train,sketch,22,present,70
tuberlin_220_30,train,sketch,23,flying saucer,70
tuberlin_220_30,train,sketch,24,swan,70
tuberlin_220_30,train,sketch,25,microphone,70
tuberlin_220_30,train,sketch,26,bed,70
tuberlin_220_30,train,sketch,27,calculator,70
tuberlin_220_30,train,sketch,28,harp,70
tuberlin_220_30,train,sketch,29,tent,70
tuberlin_220_30,train,sketch,30,truck,70
tuberlin_220_30,train,sketch,31,radio,70
tuberlin_220_30,train,sketch,32,squirrel,70
tuberlin_220_30,train,sketch,33,teddy-bear,70
tuberlin_220_30,train,sketch,34,axe,70
tuberlin_220_30,train,sketch,35,scorpion,70
tuberlin_220_30,train,sketch,36,snail,70
tuberlin_220_30,train,sketch,37,house,70
tuberlin_220_30,train,sketch,38,cloud,70
tuberlin_220_30,train,sketch,39,chandelier,70
tuberlin_220_30,train,sketch,40,cactus,70
tuberlin_220_30,train,sketch,41,sheep,70
tuberlin_220_30,train,sketch,42,tv,70
tuberlin_220_30,train,sketch,43,fork,70
tuberlin_220_30,train,sketch,44,revolver,70
tuberlin_220_30,train,sketch,45,hamburger,70
tuberlin_220_30,train,sketch,46,pear,70
tuberlin_220_30,train,sketch,47,trumpet,70
tuberlin_220_30,train,sketch,48,pineapple,70
tuberlin_220_30,train,sketch,49,bear (animal),70
tuberlin_220_30,train,sketch,50,sun,70
tuberlin_220_30,train,sketch,51,comb,70
tuberlin_220_30,train,sketch,52,purse,70
tuberlin_220_30,train,sketch,53,rabbit,70
tuberlin_220_30,train,sketch,54,submarine,70
tuberlin_220_30,train,sketch,55,floor lamp,70
tuberlin_220_30,train,sketch,56,computer-mouse,70
tuberlin_220_30,train,sketch,57,ship,70
tuberlin_220_30,train,sketch,58,seagull,70
tuberlin_220_30,train,sketch,59,frog,70
tuberlin_220_30,train,sketch,60,cigarette,70
tuberlin_220_30,train,sketch,61,panda,70
tuberlin_220_30,train,sketch,62,eye,70
tuberlin_220_30,train,sketch,63,cannon,70
tuberlin_220_30,train,sketch,64,standing bird,70
tuberlin_220_30,train,sketch,65,camera,70
tuberlin_220_30,train,sketch,66,rifle,70
tuberlin_220_30,train,sketch,67,potted plant,70
tuberlin_220_30,train,sketch,68,sea turtle,70
tuberlin_220_30,train,sketch,69,hat,70
tuberlin_220_30,train,sketch,70,cat,70
tuberlin_220_30,train,sketch,71,keyboard,70
tuberlin_220_30,train,sketch,72,mug,70
tuberlin_220_30,train,sketch,73,syringe,70
tuberlin_220_30,train,sketch,74,castle,70
tuberlin_220_30,train,sketch,75,hammer,70
tuberlin_220_30,train,sketch,76,palm tree,70
tuberlin_220_30,train,sketch,77,bicycle,70
tuberlin_220_30,train,sketch,78,bush,70
tuberlin_220_30,train,sketch,79,helmet,70
tuberlin_220_30,train,sketch,80,human-skeleton,70
tuberlin_220_30,train,sketch,81,sailboat,70
tuberlin_220_30,train,sketch,82,key,70
tuberlin_220_30,train,sketch,83,saxophone,70
tuberlin_220_30,train,sketch,84,pen,70
tuberlin_220_30,train,sketch,85,scissors,70
tuberlin_220_30,train,sketch,86,monkey,70
tuberlin_220_30,train,sketch,87,hot-dog,70
tuberlin_220_30,train,sketch,88,parking meter,70
tuberlin_220_30,train,sketch,89,parrot,70
tuberlin_220_30,train,sketch,90,door handle,70
tuberlin_220_30,train,sketch,91,grenade,70
tuberlin_220_30,train,sketch,92,snowman,70
tuberlin_220_30,train,sketch,93,ear,70
tuberlin_220_30,train,sketch,94,vase,70
tuberlin_220_30,train,sketch,95,suv,70
tuberlin_220_30,train,sketch,96,apple,70
tuberlin_220_30,train,sketch,97,bathtub,70
tuberlin_220_30,train,sketch,98,megaphone,70
tuberlin_220_30,train,sketch,99,flying bird,70
tuberlin_220_30,train,sketch,100,leaf,70
tuberlin_220_30,train,sketch,101,backpack,70
tuberlin_220_30,train,sketch,102,wheel,70
tuberlin_220_30,train,sketch,103,cow,70
tuberlin_220_30,train,sketch,104,mosquito,70
tuberlin_220_30,train,sketch,105,ipod,70
tuberlin_220_30,train,sketch,106,santa claus,70
tuberlin_220_30,train,sketch,107,shovel,70
tuberlin_220_30,train,sketch,108,person walking,70
tuberlin_220_30,train,sketch,109,sword,70
tuberlin_220_30,train,sketch,110,walkie talkie,70
tuberlin_220_30,train,sketch,111,elephant,70
tuberlin_220_30,train,sketch,112,socks,70
tuberlin_220_30,train,sketch,113,couch,70
tuberlin_220_30,train,sketch,114,screwdriver,70
tuberlin_220_30,train,sketch,115,race car,70
tuberlin_220_30,train,sketch,116,person sitting,70
tuberlin_220_30,train,sketch,117,bee,70
tuberlin_220_30,train,sketch,118,skyscraper,70
tuberlin_220_30,train,sketch,119,traffic light,70
tuberlin_220_30,train,sketch,120,pretzel,70
tuberlin_220_30,train,sketch,121,pickup truck,70
tuberlin_220_30,train,sketch,122,beer-mug,70
tuberlin_220_30,train,sketch,123,door,70
tuberlin_220_30,train,sketch,124,guitar,70
tuberlin_220_30,train,sketch,125,baseball bat,70
tuberlin_220_30,train,sketch,126,paper clip,70
tuberlin_220_30,train,sketch,127,pumpkin,70
tuberlin_220_30,train,sketch,128,mouth,70
tuberlin_220_30,train,sketch,129,hand,70
tuberlin_220_30,train,sketch,130,tennis-racket,70
tuberlin_220_30,train,sketch,131,car (sedan),70
tuberlin_220_30,train,sketch,132,cell phone,70
tuberlin_220_30,train,sketch,133,crab,70
tuberlin_220_30,train,sketch,134,zebra,70
tuberlin_220_30,train,sketch,135,motorbike,70
tuberlin_220_30,train,sketch,136,pipe (for smoking),70
tuberlin_220_30,train,sketch,137,owl,70
tuberlin_220_30,train,sketch,138,armchair,70
tuberlin_220_30,train,sketch,139,tree,70
tuberlin_220_30,train,sketch,140,loudspeaker,70
tuberlin_220_30,train,sketch,141,octopus,70
tuberlin_220_30,train,sketch,142,bulldozer,70
tuberlin_220_30,train,sketch,143,giraffe,70
tuberlin_220_30,train,sketch,144,kangaroo,70
tuberlin_220_30,train,sketch,145,mailbox,70
tuberlin_220_30,train,sketch,146,cake,70
tuberlin_220_30,train,sketch,147,satellite,70
tuberlin_220_30,train,sketch,148,head-phones,70
tuberlin_220_30,train,sketch,149,head,70
tuberlin_220_30,train,sketch,150,wine-bottle,70
tuberlin_220_30,train,sketch,151,crane (machine),70
tuberlin_220_30,train,sketch,152,shark,70
tuberlin_220_30,train,sketch,153,grapes,70
tuberlin_220_30,train,sketch,154,rainbow,70
tuberlin_220_30,train,sketch,155,mermaid,70
tuberlin_220_30,train,sketch,156,bookshelf,70
tuberlin_220_30,train,sketch,157,knife,70
tuberlin_220_30,train,sketch,158,hedgehog,70
tuberlin_220_30,train,sketch,159,fire hydrant,70
tuberlin_220_30,train,sketch,160,barn,70
tuberlin_220_30,train,sketch,161,face,70
tuberlin_220_30,train,sketch,162,bowl,70
tuberlin_220_30,train,sketch,163,eyeglasses,70
tuberlin_220_30,train,sketch,164,carrot,70
tuberlin_220_30,train,sketch,165,moon,70
tuberlin_220_30,train,sketch,166,spider,70
tuberlin_220_30,train,sketch,167,binoculars,70
tuberlin_220_30,train,sketch,168,crocodile,70
tuberlin_220_30,train,sketch,169,airplane,70
tuberlin_220_30,train,sketch,170,ladder,70
tuberlin_220_30,train,sketch,171,toothbrush,70
tuberlin_220_30,train,sketch,172,toilet,70
tuberlin_220_30,train,sketch,173,bench,70
tuberlin_220_30,train,sketch,174,power outlet,70
tuberlin_220_30,train,sketch,175,tooth,70
tuberlin_220_30,train,sketch,176,teapot,70
tuberlin_220_30,train,sketch,177,arm,70
tuberlin_220_30,train,sketch,178,lightbulb,70
tuberlin_220_30,train,sketch,179,umbrella,70
tuberlin_220_30,train,sketch,180,snake,70
tuberlin_220_30,train,sketch,181,speed-boat,70
tuberlin_220_30,train,sketch,182,hourglass,70
tuberlin_220_30,train,sketch,183,dog,70
tuberlin_220_30,train,sketch,184,fish,70
tuberlin_220_30,train,sketch,185,flashlight,70
tuberlin_220_30,train,sketch,186,ice-cream-cone,70
tuberlin_220_30,train,sketch,187,butterfly,70
tuberlin_220_30,train,sketch,188,wheelbarrow,70
tuberlin_220_30,train,sketch,189,skull,70
tuberlin_220_30,train,sketch,190,dolphin,70
tuberlin_220_30,train,sketch,191,mushroom,70
tuberlin_220_30,train,sketch,192,blimp,70
tuberlin_220_30,train,sketch,193,basket,70
tuberlin_220_30,train,sketch,194,violin,70
tuberlin_220_30,train,sketch,195,microscope,70
tuberlin_220_30,train,sketch,196,train,70
tuberlin_220_30,train,sketch,197,stapler,70
tuberlin_220_30,train,sketch,198,flower with stem,70
tuberlin_220_30,train,sketch,199,envelope,70
tuberlin_220_30,train,sketch,200,camel,70
tuberlin_220_30,train,sketch,201,diamond,70
tuberlin_220_30,train,sketch,202,wineglass,70
tuberlin_220_30,train,sketch,203,cabinet,70
tuberlin_220_30,train,sketch,204,foot,70
tuberlin_220_30,train,sketch,205,spoon,70
tuberlin_220_30,train,sketch,206,tiger,70
tuberlin_220_30,train,sketch,207,bell,70
tuberlin_220_30,train,sketch,208,candle,70
tuberlin_220_30,train,sketch,209,duck,70
tuberlin_220_30,train,sketch,210,satellite dish,70
tuberlin_220_30,train,sketch,211,crown,70
tuberlin_220_30,train,sketch,212,strawberry,70
tuberlin_220_30,train,sketch,213,rooster,70
tuberlin_220_30,train,sketch,214,lion,70
tuberlin_220_30,train,sketch,215,computer monitor,70
tuberlin_220_30,train,sketch,216,lobster,70
tuberlin_220_30,train,sketch,217,pigeon,70
tuberlin_220_30,train,sketch,218,church,70
tuberlin_220_30,train,sketch,219,ashtray,70
tuberlin_220_30,train,photo,0,wrist-watch,1011
tuberlin_220_30,train,photo,1,pig,584
tuberlin_220_30,train,photo,2,alarm clock,1336
tuberlin_220_30,train,photo,3,chair,186
tuberlin_220_30,train,photo,4,tablelamp,1477
tuberlin_220_30,train,photo,5,nose,148
tuberlin_220_30,train,photo,6,trousers,1048
tuberlin_220_30,train,photo,7,boomerang,385
tuberlin_220_30,train,photo,8,van,496
tuberlin_220_30,train,photo,9,sponge bob,132
tuberlin_220_30,train,photo,10,mouse (animal),868
tuberlin_220_30,train,photo,11,book,1293
tuberlin_220_30,train,photo,12,angel,84
tuberlin_220_30,train,photo,13,donut,1229
tuberlin_220_30,train,photo,14,tire,1688
tuberlin_220_30,train,photo,15,helicopter,1174
tuberlin_220_30,train,photo,16,tomato,1097
tuberlin_220_30,train,photo,17,skateboard,1121
tuberlin_220_30,train,photo,18,cup,372
tuberlin_220_30,train,photo,19,dragon,522
tuberlin_220_30,train,photo,20,feather,116
tuberlin_220_30,train,photo,21,piano,364
tuberlin_220_30,train,photo,22,present,358
tuberlin_220_30,train,photo,23,flying saucer,148
tuberlin_220_30,train,photo,24,swan,444
tuberlin_220_30,train,photo,25,microphone,515
tuberlin_220_30,train,photo,26,bed,395
tuberlin_220_30,train,photo,27,calculator,2411
tuberlin_220_30,train,photo,28,harp,456
tuberlin_220_30,train,photo,29,tent,993
tuberlin_220_30,train,photo,30,truck,2520
tuberlin_220_30,train,photo,31,radio,1154
tuberlin_220_30,train,photo,32,squirrel,4
tuberlin_220_30,train,photo,33,teddy-bear,252
tuberlin_220_30,train,photo,34,axe,1082
tuberlin_220_30,train,photo,35,scorpion,569
tuberlin_220_30,train,photo,36,snail,585
tuberlin_220_30,train,photo,37,house,1159
tuberlin_220_30,train,photo,38,cloud,1386
tuberlin_220_30,train,photo,39,chandelier,1185
tuberlin_220_30,train,photo,40,cactus,312
tuberlin_220_30,train,photo,41,sheep,111
tuberlin_220_30,train,photo,42,tv,1057
tuberlin_220_30,train,photo,43,fork,13
tuberlin_220_30,train,photo,44,revolver,1012
tuberlin_220_30,train,photo,45,hamburger,42
tuberlin_220_30,train,photo,46,pear,1173
tuberlin_220_30,train,photo,47,trumpet,383
tuberlin_220_30,train,photo,48,pineapple,489
tuberlin_220_30,train,photo,49,bear (animal),338
tuberlin_220_30,train,photo,50,sun,1448
tuberlin_220_30,train,photo,51,comb,205
tuberlin_220_30,train,photo,52,purse,502
tuberlin_220_30,train,photo,53,rabbit,353
tuberlin_220_30,train,photo,54,submarine,486
tuberlin_220_30,train,photo,55,floor lamp,1291
tuberlin_220_30,train,photo,56,computer-mouse,1073
tuberlin_220_30,train,photo,57,ship,450
tuberlin_220_30,train,photo,58,seagull,1124
tuberlin_220_30,train,photo,59,frog,160
tuberlin_220_30,train,photo,60,cigarette,175
tuberlin_220_30,train,photo,61,panda,491
tuberlin_220_30,train,photo,62,eye,268
tuberlin_220_30,train,photo,63,cannon,1071
tuberlin_220_30,train,photo,64,standing bird,899
tuberlin_220_30,train,photo,65,camera,1053
tuberlin_220_30,train,photo,66,rifle,987
tuberlin_220_30,train,photo,67,potted plant,150
tuberlin_220_30,train,photo,68,sea turtle,1356
tuberlin_220_30,train,photo,69,hat,500
tuberlin_220_30,train,photo,70,cat,449
tuberlin_220_30,train,photo,71,keyboard,429
tuberlin_220_30,train,photo,72,mug,407
tuberlin_220_30,train,photo,73,syringe,514
tuberlin_220_30,train,photo,74,castle,1221
tuberlin_220_30,train,photo,75,hammer,401
tuberlin_220_30,train,photo,76,palm tree,1468
tuberlin_220_30,train,photo,77,bicycle,168
tuberlin_220_30,train,photo,78,bush,1069
tuberlin_220_30,train,photo,79,helmet,423
tuberlin_220_30,train,photo,80,human-skeleton,150
tuberlin_220_30,train,photo,81,sailboat,980
tuberlin_220_30,train,photo,82,key,1051
tuberlin_220_30,train,photo,83,saxophone,432
tuberlin_220_30,train,photo,84,pen,1160
tuberlin_220_30,train,photo,85,scissors,1167
tuberlin_220_30,train,photo,86,monkey,647
tuberlin_220_30,train,photo,87,hot-dog,1140
tuberlin_220_30,train,photo,88,parking meter,1147
tuberlin_220_30,train,photo,89,parrot,1041
tuberlin_220_30,train,photo,90,door handle,183
tuberlin_220_30,train,photo,91,grenade,485
tuberlin_220_30,train,photo,92,snowman,243
tuberlin_220_30,train,photo,93,ear,178
tuberlin_220_30,train,photo,94,vase,1065
tuberlin_220_30,train,photo,95,suv,1824
tuberlin_220_30,train,photo,96,apple,278
tuberlin_220_30,train,photo,97,bathtub,834
tuberlin_220_30,train,photo,98,megaphone,1238
tuberlin_220_30,train,photo,99,flying bird,715
tuberlin_220_30,train,photo,100,leaf,291
tuberlin_220_30,train,photo,101,backpack,1145
tuberlin_220_30,train,photo,102,wheel,1391
tuberlin_220_30,train,photo,103,cow,1168
tuberlin_220_30,train,photo,104,mosquito,1090
tuberlin_220_30,train,photo,105,ipod,1027
tuberlin_220_30,train,photo,106,santa claus,279
tuberlin_220_30,train,photo,107,shovel,1022
tuberlin_220_30,train,photo,108,person walking,413
tuberlin_220_30,train,photo,109,sword,1259
tuberlin_220_30,train,photo,110,walkie talkie,642
tuberlin_220_30,train,photo,111,elephant,277
tuberlin_220_30,train,photo,112,socks,1186
tuberlin_220_30,train,photo,113,couch,400
tuberlin_220_30,train,photo,114,screwdriver,380
tuberlin_220_30,train,photo,115,race car,1305
tuberlin_220_30,train,photo,116,person sitting,190
tuberlin_220_30,train,photo,117,bee,547
tuberlin_220_30,train,photo,118,skyscraper,1360
tuberlin_220_30,train,photo,119,traffic light,1066
tuberlin_220_30,train,photo,120,pretzel,429
tuberlin_220_30,train,photo,121,pickup truck,1418
tuberlin_220_30,train,photo,122,beer-mug,1177
tuberlin_220_30,train,photo,123,door,1215
tuberlin_220_30,train,photo,124,guitar,175
tuberlin_220_30,train,photo,125,baseball bat,1030
