dataset,split,modality,rank,label,class_name,count,selection
tuberlin_220_30,test,photo,3,28,bread,1273,largest
tuberlin_220_30,test,photo,4,14,hot air balloon,1264,largest
tuberlin_220_30,test,photo,5,4,streetlight,1223,largest
tuberlin_220_30,test,photo,6,0,banana,1194,largest
tuberlin_220_30,test,photo,7,13,lighter,1154,largest
tuberlin_220_30,test,photo,8,23,rollerblades,1135,largest
tuberlin_220_30,test,photo,9,12,shoe,1134,largest
tuberlin_220_30,test,photo,10,18,t-shirt,1111,largest
tuberlin_220_30,test,photo,11,22,table,436,smallest
tuberlin_220_30,test,photo,12,8,fan,429,smallest
tuberlin_220_30,test,photo,13,17,ant,424,smallest
tuberlin_220_30,test,photo,14,7,canoe,409,smallest
tuberlin_220_30,test,photo,15,19,trombone,401,smallest
quickdraw_80_30,train,sketch,1,76,airplane,2951,largest
quickdraw_80_30,train,sketch,2,20,alarm_clock,2951,largest
quickdraw_80_30,train,sketch,3,19,ant,2951,largest
quickdraw_80_30,train,sketch,4,70,apple,2951,largest
quickdraw_80_30,train,sketch,5,30,axe,2951,largest
quickdraw_80_30,train,sketch,6,3,bandage,2951,largest
quickdraw_80_30,train,sketch,7,45,bear,2951,largest
quickdraw_80_30,train,sketch,8,1,bee,2951,largest
quickdraw_80_30,train,sketch,9,67,bench,2951,largest
quickdraw_80_30,train,sketch,10,8,bicycle,2951,largest
quickdraw_80_30,train,sketch,11,71,bus,2951,smallest
quickdraw_80_30,train,sketch,12,12,butterfly,2951,smallest
quickdraw_80_30,train,sketch,13,53,camel,2951,smallest
quickdraw_80_30,train,sketch,14,28,candle,2951,smallest
quickdraw_80_30,train,sketch,15,15,car,2951,smallest
quickdraw_80_30,train,photo,1,11,penguin,3470,largest
quickdraw_80_30,train,photo,2,38,horse,3063,largest
quickdraw_80_30,train,photo,3,45,bear,2546,largest
quickdraw_80_30,train,photo,4,56,flower,2496,largest
quickdraw_80_30,train,photo,5,63,snake,2345,largest
quickdraw_80_30,train,photo,6,79,sea_turtle,2174,largest
quickdraw_80_30,train,photo,7,35,hedgehog,2131,largest
quickdraw_80_30,train,photo,8,76,airplane,2122,largest
quickdraw_80_30,train,photo,9,64,kangaroo,2117,largest
quickdraw_80_30,train,photo,10,7,monkey,2113,largest
quickdraw_80_30,train,photo,11,69,crocodilian,1519,smallest
quickdraw_80_30,train,photo,12,43,lighthouse,1447,smallest
quickdraw_80_30,train,photo,13,25,pizza,1444,smallest
quickdraw_80_30,train,photo,14,0,teapot,1408,smallest
quickdraw_80_30,train,photo,15,3,bandage,1324,smallest
quickdraw_80_30,test,sketch,1,27,cake,5262,largest
quickdraw_80_30,test,sketch,2,26,banana,3001,largest
quickdraw_80_30,test,sketch,3,0,bat,3001,largest
quickdraw_80_30,test,sketch,4,19,beach,3001,largest
quickdraw_80_30,test,sketch,5,18,bread,3001,largest
quickdraw_80_30,test,sketch,6,21,cactus,3001,largest
quickdraw_80_30,test,sketch,7,15,campfire,3001,largest
quickdraw_80_30,test,sketch,8,1,cow,3001,largest
quickdraw_80_30,test,sketch,9,2,dolphin,3001,largest
quickdraw_80_30,test,sketch,10,3,door,3001,largest
quickdraw_80_30,test,sketch,11,29,fan,3001,smallest
quickdraw_80_30,test,sketch,12,14,feather,3001,smallest
quickdraw_80_30,test,sketch,13,17,fire_hydrant,3001,smallest
quickdraw_80_30,test,sketch,14,25,frog,3001,smallest
quickdraw_80_30,test,sketch,15,4,giraffe,3001,smallest
quickdraw_80_30,test,photo,1,23,tiger,2726,largest
quickdraw_80_30,test,photo,2,6,mouse,2154,largest
quickdraw_80_30,test,photo,3,25,frog,2118,largest
quickdraw_80_30,test,photo,4,3,door,2084,largest
quickdraw_80_30,test,photo,5,21,cactus,2043,largest
quickdraw_80_30,test,photo,6,17,fire_hydrant,2000,largest
quickdraw_80_30,test,photo,7,0,bat,1996,largest
quickdraw_80_30,test,photo,8,18,bread,1961,largest
quickdraw_80_30,test,photo,9,11,skyscraper,1925,largest
quickdraw_80_30,test,photo,10,20,megaphone,1894,largest
quickdraw_80_30,test,photo,11,22,zebra,1599,smallest
quickdraw_80_30,test,photo,12,1,cow,1576,smallest
quickdraw_80_30,test,photo,13,14,feather,1576,smallest
quickdraw_80_30,test,photo,14,24,shark,1315,smallest
quickdraw_80_30,test,photo,15,15,campfire,1304,smallest
